,name,hist,aver
0,astro.dat-9.9e-10.log,"16398,252836,40143,236303,8542,2270,0",2.95429404196287
1,astro.dat-9.9e-9.log,"16398,247352,36633,196193,8542,2270,0",2.88162707829117
2,astro.dat-9.9e-8.log,"16398,241868,33123,156083,8542,2270,0",2.79338794284767
3,astro.dat-9.9e-7.log,"16398,234556,28443,102603,8542,2270,0",2.6414187957598
4,astro.dat-9.9e-6.log,"16398,225108,22272,73504,5176,1250,0",2.50452709858368
5,astro.dat-9.9e-5.log,"16398,200609,21049,50362,4974,1212,0",2.42479056631953
6,astro.dat-9.9e-4.log,"16398,162255,20024,25270,4117,1068,0",2.30894418937556
7,astro.dat-9.9e-3.log,"16398,130361,18598,11522,2465,684,0",2.19649721154487
8,astro.dat-9.9e-2.log,"16398,92621,17146,3239,1145,375,0",2.09288594910024
9,blast2_p.dat-4.3e-7.log,"153456,2992032,147720,499216,19920,544,0",2.27659663750942
10,blast2_p.dat-4.3e-6.log,"153456,2478624,147720,433744,19920,544,0",2.28561710422485
11,blast2_p.dat-4.3e-5.log,"153456,2093568,147720,384640,19920,544,0",2.29483029078721
12,blast2_p.dat-4.3e-4.log,"153456,1708512,147720,335536,19920,544,0",2.30742515496549
13,blast2_p.dat-4.3e-3.log,"153456,1195104,147720,270064,19920,544,0",2.33373927137107
14,blast2_p.dat-4.3e-2.log,"153456,810048,147720,220960,19920,544,0",2.36825545152915
15,blast2_p.dat-4.3e-1.log,"72080,587744,66344,171856,19920,544,0",2.43540253111636
16,blast2_p.dat-4.3e0.log,"72080,399840,66344,106384,19920,544,0",2.40439504925486
17,blast2_p.dat-4.3e1.log,"72080,258912,66344,57280,19920,544,0",2.3594342005557
18,bump.dat-4.7e-11.log,"13923,133266,15896,370426,8719,3910,0",3.43666825356136
19,bump.dat-4.7e-10.log,"13923,133266,15896,314734,8719,3910,0",3.37270006198414
20,bump.dat-4.7e-9.log,"13923,133266,15896,272965,8719,3910,0",3.31430265289884
21,bump.dat-4.7e-8.log,"13923,133266,15896,231196,8719,3910,0",3.24391634513775
22,bump.dat-4.7e-7.log,"13923,133265,15896,189430,8717,3910,0",3.15742685702236
23,bump.dat-4.7e-6.log,"13923,133235,15892,133808,8692,3899,0",3.00584264289107
24,bump.dat-4.7e-5.log,"13923,132986,15863,92582,8516,3810,0",2.85135983263598
25,bump.dat-4.7e-4.log,"13923,131581,15739,53182,7914,3572,0",2.64720177415
26,bump.dat-4.7e-3.log,"13923,122335,14912,12635,4375,2039,0",2.2792872711037
27,dpot.dat-1.4e-8.log,"7387,31540,6560,125611,3219,692,62",3.50299021539832
28,dpot.dat-1.4e-7.log,"7387,27384,6560,109071,3219,692,62",3.4902024291498
29,dpot.dat-1.4e-6.log,"7387,24267,6560,96666,3219,692,62",3.47810994360943
30,dpot.dat-1.4e-5.log,"7387,21150,6560,84261,3219,692,62",3.46297362382532
31,dpot.dat-1.4e-4.log,"7387,16994,6560,67721,3219,692,62",3.43567009304818
32,dpot.dat-1.4e-3.log,"7387,13877,6560,55316,3219,692,62",3.40667868171226
33,dpot.dat-1.4e-2.log,"7387,10760,6560,42911,3219,692,62",3.36511572683717
34,dpot.dat-1.4e-1.log,"7387,6604,6555,26379,3216,692,62",3.27030160133608
35,dpot.dat-1.4e0.log,"7386,3468,6488,14187,3105,677,62",3.12540638339977
36,eddy.dat-8.8e-3.log,"78281,120245,68547,1404963,36905,6882,72",3.71268929625647
37,eddy.dat-8.8e-2.log,"78281,120245,68546,1193004,36903,6882,72",3.67219550339011
38,eddy.dat-8.8e-1.log,"78281,120245,68538,981054,36899,6882,72",3.61841867967625
39,eddy.dat-8.8e0.log,"78281,119582,68405,702324,34118,6573,72",3.50965517583011
40,eddy.dat-8.8e1.log,"78281,77274,67894,544785,24048,5039,72",3.46959278548971
41,eddy.dat-8.8e2.log,"52717,61910,40838,422990,20873,4616,72",3.51576117188949
42,eddy.dat-8.8e3.log,"45901,51738,34604,280489,17523,4129,72",3.42506030530134
43,eddy.dat-8.8e4.log,"41661,44449,30444,188273,14987,3723,72",3.31498814927891
44,eddy.dat-8.8e5.log,"37468,35801,26086,111109,11556,3194,72",3.14805180969967
45,fish.dat-4.4e-8.log,"3285,11214,4965,81604,2047,510,0",3.67014716525935
46,fish.dat-4.4e-7.log,"3285,11214,4965,72964,2047,510,0",3.64014318050218
47,fish.dat-4.4e-6.log,"3285,11214,4965,61444,2047,510,0",3.59047504942191
48,fish.dat-4.4e-5.log,"3285,11214,4965,52804,2047,510,0",3.54318743735383
49,fish.dat-4.4e-4.log,"3285,11214,4965,44164,2047,510,0",3.48355367530407
50,fish.dat-4.4e-3.log,"3285,11214,4965,32644,2047,510,0",3.37471874142504
51,fish.dat-4.4e-2.log,"3285,11214,4965,24004,2047,510,0",3.25733840304182
52,fish.dat-4.4e-1.log,"3285,11214,4962,15376,2038,510,0",3.08554232981142
53,fish.dat-4.4e0.log,"3285,11135,4397,5287,1316,445,0",2.67326502996327
54,sedov_p.dat-4.7e-11.log,"19536,331022,60932,258002,13262,1006,0",2.8792705042705
55,sedov_p.dat-4.7e-10.log,"19536,330974,59892,180946,13262,1006,0",2.73653602282635
56,sedov_p.dat-4.7e-9.log,"19536,330938,59112,123154,13262,1006,0",2.60272244647245
57,sedov_p.dat-4.7e-8.log,"19536,330724,56530,69776,10920,914,0",2.43604013104013
58,sedov_p.dat-4.7e-7.log,"19536,326704,47298,29520,6232,502,0",2.25013494899859
59,sedov_p.dat-4.7e-6.log,"19536,297744,26264,7662,402,40,0",2.066595004095
60,sedov_p.dat-4.7e-5.log,"19536,253226,19670,568,34,6,0",2.00476385476385
61,sedov_p.dat-4.7e-4.log,"19536,195358,19536,2,0,0,0",2.00001706251706
62,sedov_p.dat-4.7e-3.log,"19536,117216,19536,0,0,0,0",2
63,yf17_p.dat-1e-4.log,"24279,197439,28099,582536,13891,3779,0",3.4419386298959
64,yf17_p.dat-1e-3.log,"24279,197439,28099,485432,13891,3779,0",3.36996542788799
65,yf17_p.dat-1e-2.log,"24279,197439,28099,412604,13891,3779,0",3.30249775397704
66,yf17_p.dat-1e-1.log,"24279,197439,28099,339781,13886,3779,0",3.2188392838029
67,yf17_p.dat-1e0.log,"24279,197393,27980,243056,13704,3747,0",3.07008403262512
68,yf17_p.dat-1e1.log,"24279,195946,27498,173571,12580,3457,0",2.91904987297951
69,yf17_p.dat-1e2.log,"24279,186902,26810,113219,10404,2889,0",2.74550003703673
70,yf17_p.dat-1e3.log,"24279,167119,26423,62322,9012,2520,0",2.56194051598526
71,yf17_p.dat-1e4.log,"24279,127565,25057,12077,4410,1183,0",2.2204542300754
72,yf17_t.dat-3e-7.log,"24276,253652,28459,525574,14003,3696,0",3.30890473836593
73,yf17_t.dat-3e-6.log,"24276,253652,28456,452749,14003,3696,0",3.24411841942659
74,yf17_t.dat-3e-5.log,"24276,253652,28453,379924,14003,3696,0",3.1659280344998
75,yf17_t.dat-3e-4.log,"24276,253652,28446,282853,13984,3689,0",3.03243367935409
76,yf17_t.dat-3e-3.log,"24276,253383,28297,210945,13576,3595,0",2.90066320645905
77,yf17_t.dat-3e-2.log,"24276,250203,27638,144134,11860,3133,0",2.73657760317749
78,yf17_t.dat-3e-1.log,"24276,230288,26804,70806,9412,2554,0",2.5014335145823
79,yf17_t.dat-3e0.log,"24276,205305,25718,27057,7007,1949,0",2.28963104849783
80,yf17_t.dat-3e1.log,"24276,164331,24454,3365,1660,398,0",2.06169788176709
81,631-tst.bin.d64-6e-12.log,"49790321,1420325,6687794,651217484,13209444,6691400,541782",3.82087549107608
82,631-tst.bin.d64-6e-11.log,"49790192,1420289,6687710,548276003,13209234,6691288,541774",3.79144862274531
83,631-tst.bin.d64-6e-10.log,"49788811,1420162,6687172,471073881,13207878,6690679,541718",3.76214581568248
84,631-tst.bin.d64-6e-9.log,"49780870,1419375,6684344,393893430,13200424,6687406,541367",3.72328595884905
85,631-tst.bin.d64-6e-8.log,"49695365,1406617,6652306,291252629,13112745,6649433,535773",3.6465448568092
86,631-tst.bin.d64-6e-7.log,"49226101,1344767,6491374,215576654,12697254,6461785,510869",3.55627138756998
87,631-tst.bin.d64-6e-6.log,"46934050,1148390,5868564,144864503,11287459,5786810,441241",3.42318631081922
88,631-tst.bin.d64-6e-5.log,"40324143,825388,4585025,85544802,8752433,4542886,332951",3.25213618154042
89,631-tst.bin.d64-6e-4.log,"26490282,401520,2536762,31459791,4899950,2568941,181295",2.94615598835114
90,CLDICE_1_26_1800_3600.f32-3.6e-15.log,"23044839,128752030,84164957,411155761,18936390,1379494,576",3.41701141895747
91,CLDICE_1_26_1800_3600.f32-3.6e-14.log,"22539565,127164264,83510381,374472652,18880585,1374332,555",3.38875487569851
92,CLDICE_1_26_1800_3600.f32-3.6e-13.log,"22013653,126817065,82897631,313015102,18778284,1371266,530",3.32544755234593
93,CLDICE_1_26_1800_3600.f32-3.6e-12.log,"21905069,126756475,82241931,249126434,18465262,1367222,464",3.23925335784651
94,CLDICE_1_26_1800_3600.f32-3.6e-11.log,"21823366,126639186,79195883,167166663,17241371,1351138,266",3.08567110256503
95,CLDICE_1_26_1800_3600.f32-3.6e-10.log,"21706575,126204911,73211212,111077209,15218598,1309940,153",2.93068184215853
96,CLDICE_1_26_1800_3600.f32-3.6e-9.log,"21505909,124083713,62128869,63620321,11773307,1175900,60",2.73125620930451
97,CLDICE_1_26_1800_3600.f32-3.6e-8.log,"20959198,110582171,40776601,21189985,5101242,700876,7",2.40291307895717
98,CLDICE_1_26_1800_3600.f32-3.6e-7.log,"19971515,84505969,24872630,6725630,1063423,233155,0",2.16360838684812
99,CLOUDf48.bin.f32-5e-14.log,"1415573,1176281,1221534,24083993,683270,178796,6078",3.76493670809067
100,CLOUDf48.bin.f32-5e-13.log,"1415573,1176281,1221534,22234809,683270,178796,6078",3.74878758595011
101,CLOUDf48.bin.f32-5e-12.log,"1415572,1176281,1221534,19822493,683270,178794,6078",3.72405672831995
102,CLOUDf48.bin.f32-5e-11.log,"1415566,1176281,1221527,17051784,683244,178789,6078",3.68887648701169
103,CLOUDf48.bin.f32-5e-10.log,"1415399,1176247,1221217,13353642,682680,178693,6076",3.62506203575766
104,CLOUDf48.bin.f32-5e-9.log,"1414582,1175294,1218961,10586629,679947,178261,6070",3.55709506004819
105,CLOUDf48.bin.f32-5e-8.log,"1410315,1170235,1206268,7854424,663623,176115,6035",3.45994098669698
106,CLOUDf48.bin.f32-5e-7.log,"1376085,1121939,1077556,4511344,553882,159811,5762",3.25521045596607
107,CLOUDf48.bin.f32-5e-6.log,"1280585,947345,876573,2438611,427675,134671,5268",3.034452687143
108,einspline_115_69_69_288.f32-7.5e-10.log,"67511979,3546610,10970923,1106762738,22580345,6340612,1140571",3.85074764398851
109,einspline_115_69_69_288.f32-7.5e-9.log,"67511979,3546610,10970919,1019120628,22580345,6340612,1140571",3.83918412460782
110,einspline_115_69_69_288.f32-7.5e-8.log,"67511974,3546610,10970907,903315176,22580325,6340600,1140566",3.8208432905722
111,einspline_115_69_69_288.f32-7.5e-7.log,"67511858,3546556,10970854,785052346,22580210,6340583,1140566",3.79722689529442
112,einspline_115_69_69_288.f32-7.5e-6.log,"67511742,3545966,10970596,666791003,22579553,6340561,1140566",3.76643978015062
113,einspline_115_69_69_288.f32-7.5e-5.log,"67509490,3535176,10961727,509152942,22559090,6337719,1140395",3.70717023585993
114,einspline_115_69_69_288.f32-7.5e-4.log,"67422029,3447795,10842963,391537016,22293679,6271890,1127580",3.63855852780695
115,einspline_115_69_69_288.f32-7.5e-3.log,"66024792,3148717,10319453,277393990,21193641,5949981,1048375",3.53658195166623
116,einspline_115_69_69_288.f32-7.5e-2.log,"59566358,2505526,8847986,138964596,18331143,5121229,882395",3.31116960834724
117,sample_r_B_0.5_26.dat-2e-8.log,"1779119,26428704,2744418,39326179,1234165,250995,1",3.17502688445829
118,sample_r_B_0.5_26.dat-2e-7.log,"1779119,26428701,2744418,33034723,1234165,250995,1",3.09575225009509
119,sample_r_B_0.5_26.dat-2e-6.log,"1779119,26428697,2744418,24646115,1234165,250995,1",2.96287017038721
120,sample_r_B_0.5_26.dat-2e-5.log,"1779119,26428694,2744410,18354672,1234160,250995,1",2.83440418659211
121,sample_r_B_0.5_26.dat-2e-4.log,"1779119,26428690,2744186,12063895,1233707,250994,1",2.6696081481343
122,sample_r_B_0.5_26.dat-2e-3.log,"1779119,26424903,2694705,3840397,1128889,243966,1",2.35885365465976
123,sample_r_B_0.5_26.dat-2e-2.log,"1779107,25474649,2129403,356575,74046,6741,0",2.04401492515842
124,sample_r_B_0.5_26.dat-2e-1.log,"1778650,19654017,2096490,0,0,0,0",2.01350834626162
125,sample_r_B_0.5_26.dat-2e0.log,"1769911,11294566,2080942,0,0,0,0",2.02053630870166
126,PRES-98x1200x1200.dat-5e-5.log,"35280000,409417169,87701730,565859343,24119245,3283452,0",3.12789909910874
127,PRES-98x1200x1200.dat-5e-4.log,"35280000,409417110,87700889,506260231,24119216,3283452,0",3.07914361098722
128,PRES-98x1200x1200.dat-5e-3.log,"35280000,409416657,87695155,400429465,24116219,3283402,0",2.9776462394802
129,PRES-98x1200x1200.dat-5e-2.log,"35280000,409410615,87620673,294799140,23992100,3278370,0",2.85094216724869
130,PRES-98x1200x1200.dat-5e-1.log,"35280000,408619526,84732487,160490837,21114749,3023299,0",2.62511712789841
131,PRES-98x1200x1200.dat-5e0.log,"35280000,400763118,74579275,79758040,14791881,2248584,0",2.41517395076519
132,PRES-98x1200x1200.dat-5e1.log,"35280000,371163059,59327975,27429478,7079386,1301000,0",2.21003409304475
133,PRES-98x1200x1200.dat-5e2.log,"35280000,311679522,40318686,7522701,685787,254202,0",2.05851873566022
134,PRES-98x1200x1200.dat-5e3.log,"35280000,184060898,35280000,0,0,0,0",2
135,velocity_x.dat-6.5e-3.log,"32781990,200617633,87448274,723233426,24505700,2256039,4423",3.478918827549
136,velocity_x.dat-6.5e-2.log,"32781990,200617633,87448274,669973374,24505700,225639,4423",3.44655076501252
137,velocity_x.dat-6.5e-1.log,"32781990,200617633,87448274,569592316,24505700,2256039,4423",3.39163259413673
138,velocity_x.dat-6.5e0.log,"32781990,200617633,87448274,468929020,24505700,2256039,4423",3.31663316075942
139,velocity_x.dat-6.5e1.log,"32781990,200617633,87448216,334711460,24505590,2256039,4423",3.18221048920107
140,velocity_x.dat-6.5e2.log,"32781990,200617631,87445169,234057463,24499347,2256032,4423",3.04067711448016
141,velocity_x.dat-6.5e3.log,"32781990,200614664,87253946,133968371,24124451,2250915,4422",2.83951946537143
142,velocity_x.dat-6.5e4.log,"32781863,199993426,79966706,50660579,15126809,1801752,4329",2.52878340316958
143,velocity_x.dat-6.5e5.log,"32698710,167168156,36808266,8694888,626130,125902,1887",2.09706802636537
144,vx.dat2-2e-7.log,"1279266,38758,180627,20931525,380761,124315,20249",3.85163456027381
145,vx.dat2-2e-6.log,"1279266,38758,180627,20581350,380761,124315,20249",3.84933625818977
146,vx.dat2-2e-5.log,"1279266,38758,180627,18454378,380761,124315,20249",3.83368765868585
147,vx.dat2-2e-4.log,"1279266,38758,180627,16302298,380761,124315,20249",3.81415736772243
148,vx.dat2-2e-3.log,"1279266,38758,180627,13432858,380761,124315,20249",3.77965714065377
149,vx.dat2-2e-2.log,"1279266,38758,180627,11280778,380761,124315,20249",3.74401608628014
150,vx.dat2-2e-1.log,"1279266,38758,180627,9128698,380761,124315,20249",3.69462005255421
151,vx.dat2-2e0.log,"1279266,38758,180627,6259261,380758,124315,20249",3.58883136707233
152,vx.dat2-2e1.log,"1279266,38758,180582,4107345,380641,124313,20249",3.44449576702852
153,vx.f32-3e-7.log,"95065855,120037987,63311389,1916352991,38960946,11032306,735251",3.7660412455066
154,vx.f32-3e-6.log,"95065855,120037987,63311389,1861770897,38960946,11032306,735251",3.7602126483768
155,vx.f32-3e-5.log,"95065855,120037987,63311389,1861770897,38960946,11032306,735251",3.7602126483768
156,vx.f32-3e-4.log,"95065855,120037987,63311389,1382156990,38960946,11032306,735251",3.69300917738641
157,vx.f32-3e-3.log,"95065855,120037987,63311389,1171441589,38960946,11032306,735251",3.64990086938229
158,vx.f32-3e-2.log,"95065855,120037987,63311389,960726191,38960943,11032306,735251",3.59270806223203
159,vx.f32-3e-1.log,"95065855,120037984,63311058,679773330,38960271,11032304,735251",3.47928873027853
160,vx.f32-3e0.log,"95065855,120037176,63291758,469119245,38920511,11030858,735250",3.3417999646763
161,vx.f32-3e1.log,"95064914,119768148,62636247,261182524,37349530,10749576,734319",3.10412110119706
162,xgc.3d.08100.dat-1.4e-8.log,"3889780,15843706,2210137,66211284,1231798,386182,37579",3.51620349013666
163,xgc.3d.08100.dat-1.4e-7.log,"3889780,13714810,2210137,57744852,1231798,386182,37579",3.50524358109431
164,xgc.3d.08100.dat-1.4e-6.log,"3889780,12118138,2210137,51395028,1231798,386182,37579",3.49488508564538
165,xgc.3d.08100.dat-1.4e-5.log,"3889780,10521466,2210137,45045204,1231798,386182,37579",3.48192674960826
166,xgc.3d.08100.dat-1.4e-4.log,"3889780,8392570,2210137,36578772,1231798,386182,37579",3.45857309272864
167,xgc.3d.08100.dat-1.4e-3.log,"3889780,6795898,2210137,30228948,1231798,386182,37579",3.43380545588752
168,xgc.3d.08100.dat-1.4e-2.log,"3889780,5199226,2210137,23879125,1231797,386182,37579",3.39835109716813
169,xgc.3d.08100.dat-1.4e-1.log,"3889780,3070320,2209901,15413522,1231236,386160,37579",3.3176595703001
170,xgc.3d.08100.dat-1.4e0.log,"3889433,1469558,2201136,9104264,1209045,381246,37322",3.19500083205755
171,stat_planar.2.9950E-03.field.mpi-3.6e-9.log,"326752067,4901252907,1444915209,753784285,121831750,2230144,2213",3.01
172,stat_planar.2.9950E-03.field.mpi-3.6e-8.log,"326752067,4501252907,1204415209,656784285,121831750,2230144,2213",2.78
173,stat_planar.2.9950E-03.field.mpi-3.6e-7.log,"326752067,4101252907,1104915209,756784285,121831750,2230144,2213",2.65
174,stat_planar.2.9950E-03.field.mpi-3.6e-6.log,"326752067,3601252907,1004915209,656784285,121831750,2230144,2213",2.41411523269474
175,stat_planar.2.9950E-03.field.mpi-3.6e-5.log,"318172192,3048614502,711768519,297314988,54296351,1253013,2004",2.26089538311763
176,stat_planar.2.9950E-03.field.mpi-3.6e-4.log,"313304764,2509500331,493471242,149522877,23042095,388940,918",2.15759886366967
177,stat_planar.2.9950E-03.field.mpi-3.6e-3.log,"379137562,2265744048,450701522,54383114,8579377,119796,3",2.06539075539986
178,stat_planar.2.9950E-03.field.mpi-3.6e-2.log,"178169406,544863045,182999928,4535458,20536,0,0",2.01533409212551
179,stat_planar.2.9950E-03.field.mpi-3.6e-1.log,"178169406,544863045,182999928,4535458,20536,0,0",2.01533409212551
